Product Details,ASIN,URL,Image URL,Brand,Price  £,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
"18 Pack Cockroach Trap Sticky, Strong Glue Catchers for Pests in Kitchens, Pantries and Homes, Garage, Shed. Highly Effective, Cockroaches Killer.",B0FN81RX5K,https://www.amazon.co.uk/dp/B0FN81RX5K?psc=1,https://m.media-amazon.com/images/I/61EN12iIKSL._AC_SX355_.jpg,RQJLZ,7.7,206.71,"20,594",3.6,4,"Oct 30, 2025",5
"Cockroach Gel Bait, Cockroach Killer Gel Bait, Powerful Cockroach Repellent Insect Roach Killer",B0FX4YLMHQ,https://www.amazon.co.uk/dp/B0FX4YLMHQ?psc=1,https://m.media-amazon.com/images/I/51LHWmJu8IL._AC_SY355_.jpg,Mnozreo,15.4,193.57,"23,181",5,1,"Oct 21, 2025",5
Zero In Ant & Cockroach Killer - 1.5L Ready To Use Spray,B0B71D3QS1,https://www.amazon.co.uk/dp/B0B71D3QS1?psc=1,https://m.media-amazon.com/images/I/51IXA1aARCL._AC_SX342_.jpg,Zero In,10.59,164.76,"31,163",4.3,55,"Jul 19, 2022",44
"EMS Ultrasonic Pest Repeller Insect Repellent, Efficient Repelling Spider, Mosquitoes, Mouse, Cockroach and Other Rodents, 100% Safe (4 Packs)",B0G43X2N44,https://www.amazon.co.uk/dp/B0G43X2N44?psc=1,https://m.media-amazon.com/images/I/71Qp1oVLhNL._AC_SX355_.jpg,EGEYI,19.17,158.75,"84,203",5,4,"Jan 20, 2026",2
"Cockroach Control, Ready to Use Cockroach Killer, Powerful Cockroach Repellent Insect Roach Killer, Cockroach Killers Gel Bait",B0FX4XZ6NV,https://www.amazon.co.uk/dp/B0FX4XZ6NV?psc=1,https://m.media-amazon.com/images/I/612GpZiEhHL._AC_SY355_.jpg,Mnozreo,11.55,158.3,"40,265",5,3,"Oct 21, 2025",5
2x Ant Cockroach & Crawling Insects Killer Spray Ideal for Indoor and Outdoor/Garden Use,B09TLH3LLY,https://www.amazon.co.uk/dp/B09TLH3LLY?psc=1,https://m.media-amazon.com/images/I/51lnYWMYhQL._SY445_.jpg,SuperGift.com,5.77,133.74,"45,178",4.3,136,"Feb 28, 2022",49
"Cockroach Killer, 20pcs Cockroach Traps, Cockroaches Trap Sticky, Cockroaches Sticky Glue Catchers, Non Toxic and Eco-Friendly, for Kitchen, Garage, Storage Room",B0FRF8KR2C,https://www.amazon.co.uk/dp/B0FRF8KR2C?psc=1,https://m.media-amazon.com/images/I/81iMf5S-JbL._AC_SY355_.jpg,BAOSROY,15.4,95.9,"60,301",5,1,"Nov 25, 2025",4
"Ready to Use Cockroach Killer, Powerful Cockroach Gel Bait Cockroach Eliminator for Toilet Bedroom Kitchen, Powerful Cockroach Gel, Cockroach Control, Roach Trap Master, 1PC",B0DWZY8ZKD,https://www.amazon.co.uk/dp/B0DWZY8ZKD?psc=1,https://m.media-amazon.com/images/I/61ZE-ie-48L._AC_SY355_.jpg,KOAHDE,11.55,82.27,"64,248",3.9,3,"Feb 13, 2025",13
"Cockroach Killer Gel Bait, Cockroach Killer Gel, Strong Cockroach Catcher, Powerful Cockroach Repellent Insect Roach Killer, Cockroach Repellent, Including a Cockroach House Trap",B0DSBP8WN2,https://www.amazon.co.uk/dp/B0DSBP8WN2?psc=1,https://m.media-amazon.com/images/I/61uB5zikOQL._AC_SY355_.jpg,GNAUMORE,9.62,66.69,"92,464",5,2,"Jan 6, 2025",14
"Strong Cockroach Catcher, Cockroach Bait, Powerful Cockroach Gel Bait, Roach Trap Master, Cockroach Gel Bait, Smart Cockroach Trap, Cockroach Pest Gel Bait, Cockroach Bait for Toilet Bedroom Kitchen",B0CQT6YKV3,https://www.amazon.co.uk/dp/B0CQT6YKV3?psc=1,https://m.media-amazon.com/images/I/71+im0q8LsL._SX342_.jpg,KOAHDE,7.7,62.15,"79,993",4.4,4,"Apr 18, 2024",23
"Raid Ant & Cockroach Killer, Insect Killer For Indoor Use, Long Lasting Protection for the Home, 300ml",B015CT39LA,https://www.amazon.co.uk/dp/B015CT39LA?psc=1,https://m.media-amazon.com/images/I/411oZ48zxVL._AC_SY355_.jpg,Raid,5.2,20.91,"123,997",4.6,"1,243","Nov 17, 2016",112
"Cockroach Killer Gel Bait, Roach Trap Master, Powerful Cockroach Gel Bait, Cockroach Eliminator, Strong Catcher, Cockroach Eliminator, Powerful Cockroach Repellent Insect Roach Killer",B0FDQFN4DL,https://www.amazon.co.uk/dp/B0FDQFN4DL?psc=1,https://m.media-amazon.com/images/I/61gwVjAh0YL._SX342_.jpg,Comioke,5.77,8.6,"38,726",N/A,0,"Jun 19, 2025",9
"Powerful Cockroach Gel, Cockroach Killer Bait, Roach Trap Master, Eliminator for Toilet Bedroom Kitchen 10g",B0CRL7Z8TB,https://www.amazon.co.uk/dp/B0CRL7Z8TB?psc=1,https://m.media-amazon.com/images/I/61n8vYbyUuL._AC_SY355_.jpg,GNAUMORE,3.84,6.58,"64,756",3.7,16,"Jan 5, 2024",26
