[2*][Terro] ATTRACTED THE FRUIT FLIES, BUT THEY DIDN’T GO INSIDE || The fruit flies just sat on the Apple and never went inside.
[3*][Qualirey] Product sometimes works || Yes it catches flies, but not all of them. Best to get out ahead of these critters when you see the first one
[1*][Qualirey] DOESN'T WORK || DOES NOT WORK!
[1*][Qualirey] Terrible product || Wasted money. All this does is evaporate and doesn’t attract anything. I can smell it but that’s all. Just a vinegar smell in the house. Don’t waste your money
[1*][Qualirey] DIDNT WORK FOR ME || I USED THIS FRUIT FLY LURE AND IT DIDNT WORK FOR ME
[1*][Qualirey] Leaked!! || Multiple bottles completely leaked out when I received it. The lids are junk and 2 were broken.
[1*][Qualirey] Waste of money || No good! Wouldn’t attract fruit fly’s
[1*][Qualirey] Does Not Work BUY TERRO INSTEAD || This brand of fruit fly bait doesn't work. Flies just ignore. My Terro bait actively works and keeps my compost pile free of fruit flies.
[1*][Qualirey] Nope, this doesn't work! || I will not purchase this product again. I have fruit flies swarming around but this liquid is ineffective.
[1*][Qualirey] Waste of money || Didn't work at all. Total waste of money. The kind with the red cap from them does work. This does not work at all. 3 days and not one thing trapped.
[1*][Qualirey] Save your money || Wholly ineffective. I used this product over a month, and it attracted, trapped and eliminated no fruit flies. A homemade mix of apple cider vinegar and dish soap would be more effective.
[2*][Qualirey] Don't last long || It worked when I bought it the first time but now its non effective
[2*][Qualirey] Quality has dropped || I have bought this set of refills once before and worked much better than this set. I don’t know whether the quality of the fluid is less than the first I ordered, but this set doesn’t attract flies at all. It might as well be water. I’m disappointed this time and questioning whether I should order from this company again.
[2*][Qualirey] Too thin, evaporates very quickly || Appears to be almost all vinegar, without the sweetener that thickens the product. These evaporate rapidly, so you will use them up very fast.
[2*][Qualirey] Not as good as what I had before... || The fruit flies ignore this completely. I wish I could find the same stuff that came with the "apple traps" originally. THAT stuff really worked!!!!
[2*][Qualirey] Don't last long || It worked when I bought it the first time but now its non effective
[2*][Qualirey] Unimpressed || A teaspoon of ACV, with a small drop of mild soap, and a 2:1 water:sucrose mix added separately every two days gives better results for me. CO2 to attract, a surfactant to drown, and Bob's your uncle.
[2*][Qualirey] Unimpressed || A teaspoon of ACV, with a small drop of mild soap, and a 2:1 water:sucrose mix added separately every two days gives better results for me. CO2 to attract, a surfactant to drown, and Bob's your uncle.
[2*][Qualirey] Doesn't work || Doesn't seem to work.. :(
[2*][Qualirey] Quality has dropped || I have bought this set of refills once before and worked much better than this set. I don’t know whether the quality of the fluid is less than the first I ordered, but this set doesn’t attract flies at all. It might as well be water. I’m disappointed this time and questioning whether I should order from this company again.
[1*][STEM] Doesn’t work that well || I ordered this band considering it was slightly cheaper than Raid. It works but is not as effective as Raid. I will not purchase again.
[1*][STEM] Didn’t work || Didn’t do much
[1*][STEM] Not recommended || I would not recommend this item if you have kids or pets. It’s a liquid item that is very messy and not effective. At least they should have made this into a gel to trap the fruit flies. And the scent is not pleasant as well.
[1*][STEM] A swing and a miss || This is nothing more than basically Apple Cider vinegar in different packaging... it has the same smell and works the same exact way -- save your money and go to the grocery store
[1*][STEM] Does not work. Period. || You're better off using a dish of apple cider vinegar with a drop of dish soap in it. S.ells just as bad but actually works vs this product.
[1*][STEM] Attracts gnats but doesn't catch them || I could have bought a bottle of applecider vinegar and poured it in something.
[1*][STEM] Doesn't work well. || I was hopeful this would work. I've had it 2 weeks, it only trapped 9 gnats. IN 2 WEEKS. UGH I don't recommend
[1*][STEM] Did not work || This trap only caught one fruit fly. I had it out for 4 days and nothing. They would sit on the rim and then fly off. I did make homemade traps with apple cider vinegar, and they worked better catching 4-5. I would not purchase again.
[1*][STEM] Just terrible || These actually suck they did no justice All it did was create a swimming pool for the nats but doesn't keep gnats away or flies I would not buy this product again
[2*][STEM] Doesn’t do the job || Not worth it - only works marginal well.
[2*][STEM] Barely worked || It was ok. I caught more with my own little bow of ACV and dish soap with a sprinkle of sugar covered in plastic wrap. This seemed to take a while to attract them. I kept having to mix it up a little. They do sink to the bottom when caught but still didn’t catch nearly as many as I thought.
[2*][STEM] Not helpful || It really didn’t attract that many fruit flies like it said it will do ..
[2*][STEM] ineffective for fruit flies, smells bad || Barely caught any fruit flies, they seemed to come and go for quite awhile.
[2*][STEM] Not impressed || After leaving out for a month, I found two fruit flies. The house still has a colony visiting us. Would not recommend.
[2*][STEM] Gnats || It smell like vinegar however it only had 2 gnats in it by the time it dried out. Gave 2 stars because of the two gnats caught. Home made works better. Apple cider vinegar and dawn
[2*][STEM] Hasn't helped much || So this does attract gnats but they don't get trapped. They just crawl around the rim and fly out. Especially after the bubbles are gone. I've given up trying to use them. The smell isn't overwhelming but it does stink. You're better off just making your own.
[2*][STEM] It works, but not well and not for long || It'll only last a couple weeks in the heat, didn't really attract a lot of fruit flies. Spilled really easy.
[2*][STEM] It’s a joke || It’s a joke! It will catch fruit flies here and there. That’s about it. It doesn’t take care of the problem!
[3*][STEM] Ok || Smells really yucky.
[3*][STEM] Read the reviews before you buy it. || this is literally a jar of apple cider vinegar. If I would have known this, I would have purchased something different
[3*][STEM] Review || works 3/5
[3*][STEM] It’s OK || It worked ok. I set it up in my kitchen by where I had frequently seen a few fruit flies. I expected this to help take care of the problem as I was also taking measures to make sure it didn’t become a big infestation. After a week of having it there was literally nothing in it except dust particles. The smell is pretty strong even a month after having it open and the liquid seems to be evaporating slowly. I can count exactly ten fruit flies in it right now. Somewhat worked but not as good as won...
[3*][STEM] Nice clean concept but || I love the nice clean concept of natural ingredients without harsh chemicals, 3 stars for that. However, my family could not tolerate the repulsive smell this product fills the room with. It is pretty gross. I’d be more embarrassed to have the smell of this fruit fly solution in my home with guests than I’d be with a few fruit flies. We are going to keep our fruit refrigerated and repurchase/disgard to the outdoor cans every couple days and keep the kitchen + fridge super sparkly instead. I don’...
[3*][STEM] it works!! || Update: after just an 1hr of having it ..it has a bunch of dead gnats!! Smell still strong though. Previous review: It does attract the gnats to the rim but geez does it have a very strong apple cider vinegar smell immediately once opened. I hope it works, because I've noticed some gnats in bathroom and kitchen and they're annoying
[3*][STEM] needs help! || I bought this product to try to get a fruit fly problems under control. In my office at work a co-worker had left a banana out under her desk that we did not know about. We starting getting loads of fruit flies so I decided to give these traps a try. I bought this one and another brand to do some comparison with. The other brand contained only malic acid. I opened them both at the same time and put them out. Immediately fruit flies started collecting around the rim of both containers but none se...
[3*][STEM] Just buy ACV || It’s just apple cider vinegar
[3*][STEM] Didn’t work || Gnats were attracted to mixture but did not go into container
[1*][Qualirey] not worth purchasing || This product did not work for fruit flys. I bought it to replenish the liquid in my traps. I have two traps and placed in different areas and they caught nothing. The product that came with the trap from the store worked better than this solution bought online.
[3*][Qualirey] Expensive || Could use acv, much cheaper and does the same
[2*][HOT SHOT] Not worth the money....at least for normal house flies. || I'm not sure they really work. I've seen maybe a fly in each one I put out. Maybe they work better on smaller flys. And FYI....they're very messy. They're filled with what looks like soapy water....and you have to peel a cover off of the very small insert. The first one just went everywhere when the seal finally broke loose when pulling it. They look less yucky than normal fly traps butttt....I can say I wouldn't waste my money on them again.
[3*][HOT SHOT] Seemed to slow the flies down for easy swatting and some just died, but not in unit. || I was prepared to write a bad review. I set up 3 "traps" last night and I noted how easy it was to spill the contents when removing the foil pack, how small the "traps" are compared to what I had envisioned, and I could not see how it could hold many dead house flies. (I am used to the outdoor traps that actually trap the flies.) I don't think it traps the flies, I think it poisons them when they go to drink the liquid. I woke up to dead flies, and lethargic flies that were easy to swat and kill...
[1*][Aunt Fannie's] Doesn't work, save your $$ || This product arrived half-empty and the little that remained did not attract any fruit flies. Zero. Don't waste your money.
[1*][Terro] Updated Review || The squirt bottle insert worked a lot better than the plastic slider insert. Maybe it was more potent in the squirt bottle insert but its been out for over a day and not a single fly but before I would have multiple flies dead
[1*][Super Ninja] Did not work || These did not work for me at all. I had better luck making my own and it was a lot cheaper.
[2*][Aunt Fannie's] Does not work || We just recently went on a vacation. Before we left one of our kids left a peach on the counter that rotted. When we got home we were super infested with fruit flys. So I bought this product to help get rid is of them. After 3 days it had caught just 4 fruit flies out of thousands of them.
[3*][Aunt Fannie's] Fruit Flies do like it || Tt worked instantly, fruit flies hovering over it and dove into the liquid... but it slowed down considerably. It could be that I got a fair amount of them, not sure. I still see one or two/three, etc buzzing around. I've only had this for a week....so I'll try to update this review. Smells like apple cider vinegar, so if that's what is in this, you could make a home remedy
[1*][Raid] Fruit Flies didn't altogether go away || I had fruit flys and while this worked o.k.... the night lights were better!~
[3*][Raid] Won’t buy again || Works but it’s really messy. Won’t buy it again.
