Product Details,ASIN,Pack Size,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller,Display Order,Recent Purchases,Parent Level Revenue
Blooven Yellow Stickers Pack of 60 Fungus Gnats Fight Yellow Plates Fungus Gnats Against Small Flies in Potting Soil (6.5 x 9 cm),B0BW8VSPRS,,Sticky,https://www.amazon.de/dp/B0BW8VSPRS?psc=1,https://m.media-amazon.com/images/I/71oyhtSjixL._AC_SY355_.jpg,Blooven,9.99,"15,708",643,"6,471.60",129,21,,2.92,1,4.6,"22,447",6,487,Blooven,Garden,Standard Envelope,FBA,13.50 x 2.10 x 10.40 cm,0.18,,"Mar 22, 2023",,No,36,Blooven,44.4.,200,"109,585.16"
Neudorff Fungus Gnats Set – 5 Million SF Nematodes and Yellow Stickers for Natural and Quick Control of Fungus Gnats with Immediate and Long-Term Effect,B0DQDCJLGY,,Sticky,https://www.amazon.de/dp/B0DQDCJLGY?psc=1,https://m.media-amazon.com/images/I/81k11r-xakL._AC_SY355_.jpg,Neudorff,24.9,"1,538",222,"5,448.74",152,"1,661",,6.13,1,4.5,83,9,18,Neudorff,Garden,Standard Envelope,MFN,16.00 x 2.10 x 10.60 cm,0.06,,"Dec 13, 2024",,No,15,Neudorff,125.1.,50,"31,750.91"
"PIC Fliegenfänger 16x - Fliegenfalle Innenbereich, Fruchtfliegen, Klebestreifen, Klebefalle, Fruchtfliegenfalle, Fly Trap, umweltfreundlich und giftfrei obstfliegenfalle, inkl. Reißnagel zum Aufhängen",B07MKVLMW3,,Sticky,https://www.amazon.de/dp/B07MKVLMW3?psc=1,https://m.media-amazon.com/images/I/81vXajnHxCL._AC_SY355_.jpg,PIC,6.99,741,741,"4,884.84",200,227,DE,2.68,3,4.1,"5,116",7,14,UE-SHOP,Garten,Standard Envelope,FBA,23.70 x 2.40 x 9.70 cm,0.21,,"May 20, 2019",,No,82,UE-SHOP,,,
"Beshine Yellow Stickers, 40 x 2 Pieces Yellow Plates Fungus Gnats Control Sticky Catcher for Plants Indoor and Outdoor Insects Fly Control, Waterproof and Non-Toxic",B0F4XC95NP,,Sticky,https://www.amazon.de/dp/B0F4XC95NP?psc=1,https://m.media-amazon.com/images/I/71anOpt6ydL._AC_SY355_.jpg,Beshine,7.64,"2,656",474,"4,193.55",164,157,,3.43,1,4.7,"1,251",7,61,Ujia Ec,Garden,Standard Envelope,FBA,15.90 x 2.50 x 10.90 cm,0.3,,"Nov 3, 2025",,No,4,Ujia Ec,123.2.,100,"18,953.46"
"Aeroxon Fliegenfalle Fenster – 4x4 Fliegenfänger Klebestreifen ohne Gift & Geruch, Effektive Fenster Fliegenfalle gegen Fruchtfliegen, Stubenfliegen & Fliegen – Transparent & Langzeitwirkung",B079CP7LWY,,Sticky,https://www.amazon.de/dp/B079CP7LWY?psc=1,https://m.media-amazon.com/images/I/81skvY+FMML._AC_SY355_.jpg,Aeroxon,8.27,477,477,"3,945.65",190,"1,218",DE,2.78,4,4.2,"4,173",6,11,UE-SHOP,Garten,Standard Envelope,FBA,24.30 x 1.10 x 7.70 cm,0.11,,"Feb 16, 2018",,No,97,UE-SHOP,,,
"PIC Fighting fungus gnats - 30 x yellow plates against fungus gnats, yellow stickers for indoor plants, yellow trap against small flies in the potting soil - alternative to nematodes",B0DNT43STQ,,Sticky,https://www.amazon.de/dp/B0DNT43STQ?psc=1,https://m.media-amazon.com/images/I/81Kftn-hFrL._AC_SY355_.jpg,PIC,6.67,"3,680",659,"3,883.11",182,328,,2.36,1,4.6,"9,769",7,81,UE-SHOP,Garden,Standard Envelope,FBA,18.10 x 0.70 x 11.20 cm,0.09,,"Nov 22, 2024",,No,16,UE-SHOP,56.2.,100,"29,486.05"
"100 Stück Fensterfliegenfallen, Fruchtfliegenfallen für den Innenbereich, klebrige Fliegenpapierstreifen, Fliegenfallen für den Innenbereich, Insektenfänger, transparent.",B09GVV3QB8,,Sticky,https://www.amazon.de/dp/B09GVV3QB8?psc=1,https://m.media-amazon.com/images/I/61xcfDiPqZL._AC_SY355_.jpg,LFSYS,19.99,167,167,"3,344.32",170,"3,362",CN,5.68,3,4.6,"2,075",7,23,yingrf&eu,Garten,Standard Envelope,FBA,21.50 x 1.90 x 15.20 cm,0.42,,"Apr 16, 2024",,No,23,yingrf&eu,,,
"PIC Yellow Sticker Fungus Gnats - 120 x Yellow Plates Against Fungus Gnats, Effective Yellow Trap for Fungus Gnats and Against Small Flies in Potting Soil, Alternative to Fighting Nematodes Against",B0DNT55PBP,,Sticky,https://www.amazon.de/dp/B0DNT55PBP?psc=1,https://m.media-amazon.com/images/I/81sHVa82N2L._AC_SY355_.jpg,PIC,12.99,"3,680",238,"3,083.54",197,328,,5.62,1,4.6,"9,769",7,96,UE-SHOP,Garden,Standard Envelope,FBA,18.00 x 1.90 x 11.30 cm,0.31,,"Jan 8, 2025",,No,14,UE-SHOP,56.4.,100,"29,486.05"
"PIC Fighting fungus gnats - 10 x yellow plates against fungus gnats, yellow stickers for indoor plants, yellow trap against small flies in the potting soil - alternative to nematodes",B0DNT7FZ85,,Sticky,https://www.amazon.de/dp/B0DNT7FZ85?psc=1,https://m.media-amazon.com/images/I/81WYj7bR8IL._AC_SY355_.jpg,PIC,6.95,"3,680",399,"2,770.42",182,328,,2.94,1,4.6,"9,769",7,96,UE-SHOP,Garden,Standard Envelope,FBA,17.90 x 2.10 x 10.30 cm,0.03,,"Dec 13, 2024",,No,15,UE-SHOP,56.1.,,"29,486.05"
"PIC Fenster-Fliegenfalle Innenbereich 16 Stück – Fliegenfänger Klebestreifen, Fliegenfalle Klebefalle - Giftfreie, Geruchlose Fliegen Fallen zum Fangen von Fliegen und Fruchtfliegen, Fly Trap",B082P37FFM,,Sticky,https://www.amazon.de/dp/B082P37FFM?psc=1,https://m.media-amazon.com/images/I/81-YRzq-cqL._AC_SY355_.jpg,PIC,9.99,426,309,"2,684.23",191,810,DE,3.11,2,4,"4,031",7,15,UE-SHOP,Garten,Standard Envelope,FBA,24.40 x 0.90 x 7.50 cm,0.12,,"Dec 18, 2019",,No,75,UE-SHOP,,,
16 x Fliegenfalle I Premium Fliegenfänger I Fruchtfliegenfalle I umweltfreundlich - giftfrei (16),B084TLVQ9R,,Sticky,https://www.amazon.de/dp/B084TLVQ9R?psc=1,https://m.media-amazon.com/images/I/71mr+uGxs-L._AC_SY355_.jpg,inseko,7.99,407,335,"2,669.54",97,"2,567",DE,3.85,2,4.2,"1,464",6,1,Home-Flair®,Garten,Large Envelope,FBA,20.50 x 2.80 x 19.50 cm,0.2,,"Feb 18, 2020",,No,73,Home-Flair®,,,
"Super Ninja Fungus Gnats Control - Pack of 10, Highly Effective Yellow Panels for Indoor Use, Yellow Adhesive Trap for Plants, Non-Toxic and Environmentally Friendly, Yellow Stickers Can Be Used for 3",B091TY9XDZ,,Sticky,https://www.amazon.de/dp/B091TY9XDZ?psc=1,https://m.media-amazon.com/images/I/81L89NBmdPL._AC_SY355_.jpg,Super Ninja,4.49,"16,108",589,"2,638.37",200,23,,2.59,1,4.4,"10,661",8,450,Super Ninja ECO,Garden,Standard Envelope,FBA,14.70 x 1.40 x 7.40 cm,0.06,,"Jun 22, 2021",,No,57,Super Ninja ECO,37.1.,200,"98,566.99"
"57 Stück Gelbtafeln Gegen Trauermücken, Schädlingsbekämpfung Insektizidfreie, Gelbsticker, Hochwirksame Fliegenfalle, Sicher Geruchlos Klebefalle, Fruchtfliegenfalle Für Innen-Außenbereich",B0FNK9NFJZ,,Sticky,https://www.amazon.de/dp/B0FNK9NFJZ?psc=1,https://m.media-amazon.com/images/I/61kUh7tczTL._AC_SY355_.jpg,DTXDTech,6.49,579,411,"2,399.92",188,"1,279",CN,2.64,1,4.6,69,6,13,qiaopuchuangxin,Garten,Standard Envelope,FBA,20.20 x 1.60 x 15.50 cm,0.19,,"Aug 23, 2025",,No,7,qiaopuchuangxin,,,
32 Stück Fruchtfliegenfalle Fliegenfalle Klebefalle Fliegenfänger Klebestreifen Gelbsticker Trauermücken Obstfliegenfalle Innenbereich draußen Gelbtafeln Mückenfalle,B0CQQV5Z2K,,Sticky,https://www.amazon.de/dp/B0CQQV5Z2K?psc=1,https://m.media-amazon.com/images/I/81yuBDgkYEL._SX342_.jpg,FEBCAT Catch,8.98,397,259,"2,328.74",165,"3,909",CN,3.37,2,4.3,899,6,29,JIAZHIHENG,Garten,Large Envelope,FBA,21.00 x 2.80 x 10.80 cm,0.19,,"Dec 21, 2023",,No,27,JIAZHIHENG,,,
"Blooven Window Fly Trap, Pack of 20, Toxin-Free Fly Traps for Flies, Fruit Flies, House Flies, Transparent Fly Trap (Pack of 20)",B0CPS9WXY9,,Sticky,https://www.amazon.de/dp/B0CPS9WXY9?psc=1,https://m.media-amazon.com/images/I/71yYPl6eMtL._AC_SY355_.jpg,Blooven,7.99,422,275,"2,138.61",128,"2,725",CN,2.7,1,4.2,973,6,18,Blooven,Garden,Standard Envelope,FBA,21.00 x 0.90 x 7.20 cm,0.08,,"Feb 5, 2024",,No,25,Blooven,81,100,"3,717.08"
Gelbsticker Trauermücken Bekämpfen 30 Stück - Fruchtfliegenfalle - Trauermücken Bekämpfen mit Gelbtafeln für Zimmerpflanzen Schädlingsbekämpfung (30 Stück),B0FJM6HBNM,,Sticky,https://www.amazon.de/dp/B0FJM6HBNM?psc=1,https://m.media-amazon.com/images/I/51ealUwY2uL._AC_SY355_.jpg,Skythrive,3.99,507,507,"2,022.49",155,"2,114",RO,2.41,1,4.5,45,7,14,EXP-EUR,Garten,Standard Envelope,FBA,27.50 x 1.20 x 15.60 cm,0.09,,"Aug 27, 2025",,No,7,EXP-EUR,,,
10x - Klebefalle für Ungeziefer - Stark klebend - universelle Verwendung (Braun - Sehr Stark (10 Stück)),B07FPNF5KM,,Sticky,https://www.amazon.de/dp/B07FPNF5KM?psc=1,https://m.media-amazon.com/images/I/416l+PK8fiL._AC_SY355_.jpg,Unbekannt,14.95,135,135,"1,872.37",104,"15,827",NL,,2,4.4,457,1,1,BYDOO B.V.,Garten,,MFN,,,,"Aug 23, 2018",,No,91,BYDOO B.V.,,,
"Pack of 60 Fruit Fly Traps Fly Trap Adhesive Trap Fly Catcher Adhesive Strips and Yellow Stickers Fungus Gnats, Fruit Fly Trap Indoor Outdoor Yellow Panels Mosquito Trap",B0CQQVVQ4Z,,Sticky,https://www.amazon.de/dp/B0CQQVVQ4Z?psc=1,https://m.media-amazon.com/images/I/61gemehtxaL._SX342_.jpg,FEBCAT Catch,11.99,351,139,"1,714.77",169,"3,946",,3.61,2,4.2,904,6,39,HONGRUNMEISHENG,Garden,Large Envelope,FBA,21.20 x 3.30 x 20.90 cm,0.35,,"Dec 21, 2023",,No,27,HONGRUNMEISHENG,52.1.,50,"3,620.43"
"Fruchtfliegenfallen, 6PCS Klebrige Fruchtfliegenfallenbälle, Fliegenfalle für Fruchtfliegen, natürlich und umweltfreundlichFür Fruchtfliegen, Mücken und Spinnen, für Küche, Balkone, Innenhöfe",B0FW3STPLJ,,Sticky,https://www.amazon.de/dp/B0FW3STPLJ?psc=1,https://m.media-amazon.com/images/I/7194qMxcFuL._SX342_.jpg,DINSONG,9.89,173,173,"1,712.58",191,"6,284",CN,3.76,1,4.4,11,6,6,Dasenlindianzi,Garten,Standard Parcel,FBA,24.20 x 13.30 x 20.50 cm,0.17,,"Nov 9, 2025",,No,4,Dasenlindianzi,,,
"Flintronic Fliegenfänger, 18 Stück Fliegenfänger-Rollen, Premium Ungiftiger Fliegenvernichter Gegen Fruchtfliegen Fliegen Mücken und Motten, Fliegenfalle Klebestreifen für Innen und Außen",B0CB88H9K3,,Sticky,https://www.amazon.de/dp/B0CB88H9K3?psc=1,https://m.media-amazon.com/images/I/81sFJhjJB5L._AC_SY355_.jpg,flintronic,4.99,443,328,"1,635.02",187,"2,242",HK,2.5,1,3.9,"1,015",9,18,flintronic®-eu,Garten,Standard Envelope,FBA,19.10 x 2.20 x 11.80 cm,0.15,,"Aug 15, 2023",,No,31,flintronic®-eu,,,
"Blooven Window Fly Trap, Pack of 40, Toxin-Free Fly Traps for Flies, Fruit Flies, House Flies, Transparent Fly Trap (Pack of 40)",B0CPS6PVH9,,Sticky,https://www.amazon.de/dp/B0CPS6PVH9?psc=1,https://m.media-amazon.com/images/I/71jw2yv-sSL._AC_SY355_.jpg,Blooven,10.99,422,147,"1,575.40",128,"2,724",,3,1,4.2,973,6,18,Blooven,Garden,Standard Envelope,FBA,21.30 x 1.80 x 7.40 cm,0.17,,"Mar 10, 2024",,No,24,Blooven,81.1.,50,"3,717.08"
"80 Stück Fruchtfliegenfalle & Obstfliegenfalle - Gelbe Klebefallen gegen Fliegen, Trauermücken und Insekten - Gelbsticker und Gelbtafeln für Küche, Zimmerpflanzen & Innenbereich",B0DG3TRWVV,,Sticky,https://www.amazon.de/dp/B0DG3TRWVV?psc=1,https://m.media-amazon.com/images/I/71-BdCkF8PL._AC_SY355_.jpg,KLETTEREI,9.69,261,155,"1,496.07",177,"6,259",CN,3.06,1,4,50,9,4,KLETTEREI,Garten,Standard Envelope,FBA,25.00 x 1.80 x 20.10 cm,0.3,,"Oct 17, 2024",,No,17,KLETTEREI,,,
"Fighting fungus gnats, yellow plates, yellow stickers, fungus gnats, 100 pieces, highly effective fly trap, safe odourless adhesive trap, fruit fly trap for indoor and outdoor use, plants",B0G4LWX7D7,,Sticky,https://www.amazon.de/dp/B0G4LWX7D7?psc=1,https://m.media-amazon.com/images/I/71pFPGldw7L._AC_SY355_.jpg,Acual,8.39,257,163,"1,343.09",187,"9,690",,3.94,1,4.7,13,7,3,ZUNSO,Garden,Standard Envelope,FBA,22.90 x 2.30 x 17.30 cm,0.31,,"Jan 8, 2026",,No,2,ZUNSO,128.1.,50,"1,760.33"
"PIC 40 Small Yellow Sticky Traps, Against Fungus Gnats, Aphids, Miner Flies, Thrips and White Flies, Perfect Against Pests, Home and Balcony",B08CF25TZZ,,Sticky,https://www.amazon.de/dp/B08CF25TZZ?psc=1,https://m.media-amazon.com/images/I/819t+pXA37L._AC_SY355_.jpg,PIC,8.49,"3,680",157,"1,328.29",140,328,,3.79,1,4.6,"9,769",7,70,UE-SHOP,Garden,Standard Envelope,MFN,19.30 x 1.52 x 14.22 cm,0.16,,"Jul 6, 2020",,No,68,UE-SHOP,56.3.,,"29,486.05"
"50 Stück Fensterfliegenfallen, Fruchtfliegenfallen für den Innenbereich, klebrige Fliegenpapierstreifen, Fliegenfallen für den Innenbereich, Insektenfänger, transparent.",B09GVVTZ2M,,Sticky,https://www.amazon.de/dp/B09GVVTZ2M?psc=1,https://m.media-amazon.com/images/I/61FD64ZAg3L._AC_SY355_.jpg,LFSYS,16.99,41,41,703.68,169,"11,405",CN,3.27,1,4.6,"4,707",7,58,yingrf&eu,Garten,Standard Envelope,FBA,21.60 x 1.90 x 8.10 cm,0.22,,"Mar 7, 2023",,No,36,yingrf&eu,,,
"AiQInu Pack of 30 yellow stickers, fungus gnats, fly trap, fruit fly trap, ideal yellow plate for potted plants against mosquitoes, aphids, leaf flies, balcony, garden, indoor",B0D6G28D38,,Sticky,https://www.amazon.de/dp/B0D6G28D38?psc=1,https://m.media-amazon.com/images/I/71sxJ9ho1YL._AC_SY355_.jpg,AiQInu,4.99,176,139,692.94,175,"8,004",AMZ,3.48,1,4.4,245,9,52,Amazon,Garden,Standard Envelope,AMZ,16.10 x 1.30 x 12.20 cm,0.1,,"Aug 28, 2024",,No,19,Amazon,100,50,929.43
"Nexa Lotte Fliegenfänger, 4 Stück zum Bekämpfen von Fliegen, mit hoher Klebekraft und Lockwirkung",B07F7GH3PN,,Sticky,https://www.amazon.de/dp/B07F7GH3PN?psc=1,https://m.media-amazon.com/images/I/71b9TAt3PBL._AC_SY355_.jpg,Nexa Lotte,1.99,326,326,649.43,97,"1,459",AMZ,3.34,4,4.1,"2,392",5,14,Amazon,Garten,Extra Large Envelope,AMZ,9.80 x 4.40 x 5.90 cm,0.05,,"Jul 3, 2018",,No,92,Amazon,,,
"GeeRic Pack of 40 fly traps, black boards, sticky insect traps, against fungus gnats, aphids, nematodes, white flies and miner flies, premium sticker fly trap (black)",B09ZWTZHYK,,Sticky,https://www.amazon.de/dp/B09ZWTZHYK?psc=1,https://m.media-amazon.com/images/I/7128ryjZAbL._AC_SY355_.jpg,GeeRic,5.48,273,110,605.26,166,"6,782",HK,2.94,1,4.4,"3,222",7,29,GeeRicDirect,Garden,Standard Envelope,FBA,19.50 x 1.40 x 13.50 cm,0.13,,"Jun 18, 2022",,No,45,GeeRicDirect,80,50,"1,493.55"
"Pack of 37 Yellow Plates Against Fungus Gnats for Battling Pests, Insecticide-free Adhesive Traps, Highly Effective Fly Traps for Fruit Flies, Odourless & Safe Fly Traps",B0FNK8RM6Q,,Sticky,https://www.amazon.de/dp/B0FNK8RM6Q?psc=1,https://m.media-amazon.com/images/I/61iHOy7eWTL._AC_SY355_.jpg,DTXDTech,5.29,579,107,562.5,169,"2,703",,2.89,1,4.7,77,6,18,qiaopuchuangxin,Garden,Standard Envelope,FBA,17.30 x 1.90 x 13.70 cm,0.12,,"Aug 23, 2025",,No,7,qiaopuchuangxin,85.1.,,"3,423.10"
Trappify Fly Trap for Indoor and Outdoor Use (Pack of 4) - 90 Days Fruit Fly Trap for Standing & Hanging - Fly Catcher Mosquito Trap with Adhesive Strips - Repellent Against Mosquitoes,B087CGT6ST,,Sticky,https://www.amazon.de/dp/B087CGT6ST?psc=1,https://m.media-amazon.com/images/I/7104ZyW8Z9L._AC_SY355_.jpg,Trappify,21.99,51,25,542.02,184,"19,768",US,6.67,1,4,"5,408",9,25,Trappify,Garden,Extra Large Envelope,FBA,26.90 x 5.59 x 20.80 cm,0.22,,"Feb 3, 2023",,No,37,Trappify,118,,"1,072.29"
"MEGAROOM Premium Fly Catcher, Pack of 8, Toxin-Free, Environmentally Friendly Fly Trap, Indoor and Outdoor, Against Fruit Flies, Mosquitoes and Moths, Fruit Fly Trap, Drawing Pin for Hanging",B0FMXW4ZCM,,Sticky,https://www.amazon.de/dp/B0FMXW4ZCM?psc=1,https://m.media-amazon.com/images/I/81dS61WLsmL._AC_SY355_.jpg,MEGAROOM,6.99,76,76,531.77,190,"9,734",CN,4.09,1,3.7,14,7,3,Yuyustore,Garden,Standard Envelope,FBA,15.90 x 2.20 x 10.90 cm,0.07,,"Dec 13, 2025",,No,3,Yuyustore,,,
"60 Stück Trauermücken Bekämpfen, nematoden gegen trauermücken für Fruchtfliegen, Doppelseitige Mückenfalle, Gegen Trauermücken für die Zimmerpflanzen, Fliegenfalle Blumentopf, Sicher, Geruchlos, Schwarz",B0DS49RZLS,,Sticky,https://www.amazon.de/dp/B0DS49RZLS?psc=1,https://m.media-amazon.com/images/I/71yTf2p9FjL._SX342_.jpg,LWMTT,5.99,"1,153",85,509.22,202,"1,224",RO,2.6,1,4.6,555,7,33,ANCAJEWELRYGOLD,Garten,Standard Envelope,FBA,14.90 x 2.40 x 14.00 cm,0.2,,"Mar 7, 2025",,No,12,ANCAJEWELRYGOLD,,,
"Pack of 77 Yellow Stickers Fungus Gnats Safe Fly Trap Insecticide-Free Yellow Plates for Control Small Flies, Waterproof, Non-Toxic, Adhesive Trap, Potting Soil",B0FNK9TZ8C,,Sticky,https://www.amazon.de/dp/B0FNK9TZ8C?psc=1,https://m.media-amazon.com/images/I/71MppH-hk3L._AC_SY355_.jpg,DTXDTech,7.99,579,60,447.87,160,"2,703",,2.64,1,4.7,77,6,19,qiaopuchuangxin,Garden,Standard Envelope,FBA,20.00 x 2.50 x 15.60 cm,0.26,,"Aug 23, 2025",,No,7,qiaopuchuangxin,85.2.,,"3,423.10"
"Fighting fungus gnats, yellow plates, yellow stickers, fungus gnats, 30 pieces, highly effective fly trap, safe odourless adhesive trap, fruit fly trap for indoor and outdoor use, plants",B0G34FY76R,,Sticky,https://www.amazon.de/dp/B0G34FY76R?psc=1,https://m.media-amazon.com/images/I/71pFPGldw7L._AC_SY355_.jpg,Acual,4.09,257,93,414.69,186,"9,689",CN,2.42,1,4.7,13,7,3,ZUNSO,Garden,Standard Envelope,FBA,14.00 x 1.20 x 13.30 cm,0.09,,"Jan 8, 2026",,No,2,ZUNSO,128,,"1,760.33"
"Pack of 40 Yellow Plates Fruit Tree Traps, 20 x 15 cm, Large Format and Double-Sided, Against Cherry Fruit Fly, Apple Moth, Plum Made, Includes Binding Wire for Garden, Outdoor, Also Against Whiteflies and Thrips",B0F6352H3M,,Sticky,https://www.amazon.de/dp/B0F6352H3M?psc=1,https://m.media-amazon.com/images/I/61G0E1UE1iL._AC_SY355_.jpg,KLETTEREI,9.69,272,40,390.63,212,"5,148",,3.71,1,4.1,52,9,0,KLETTEREI,Garden,Standard Envelope,FBA,20.10 x 1.60 x 15.30 cm,0.38,,"Jun 12, 2025",,No,9,KLETTEREI,40.1.,,"2,366.35"
"Pack of 20 Fly Baits for Windows, Window Fly Trap, Stickers, Window Fly Trap for Catching Insects",B07PR2JK32,,Sticky,https://www.amazon.de/dp/B07PR2JK32?psc=1,https://m.media-amazon.com/images/I/71j1tp2TOyS._AC_SY355_.jpg,Plai,8.99,60,42,376.29,97,"13,367",,2.64,1,3.8,"5,815",7,11,UFelice,Garden,Standard Envelope,FBA,14.60 x 1.20 x 11.70 cm,0.06,,"Jun 18, 2019",,No,81,UFelice,92.1.,,536.58
"GeeRic Pack of 40 fly traps, yellow boards and blue boards, sticky insect traps, against fungus gnats, aphids, nematodes, white flies and miner flies, premium sticker fly trap",B0D93KPCZX,,Sticky,https://www.amazon.de/dp/B0D93KPCZX?psc=1,https://m.media-amazon.com/images/I/71Oix7D+FpL._AC_SY355_.jpg,GeeRic,5.48,273,66,362.87,175,"6,785",,2.94,1,4.4,"3,222",7,33,GeeRicDirect,Garden,Standard Envelope,FBA,18.50 x 2.30 x 13.30 cm,0.13,,"Aug 28, 2024",,No,19,GeeRicDirect,80.2.,,"1,493.55"
"Flintronic Fly Catcher, Pack of 24 Fly Catcher Rolls, Premium Non-Toxic Fly Killer Against Fruit Flies, Flies, Moths and Moths, Fly Trap Adhesive Strips for Indoor and Outdoor Use",B0CB87DDGJ,,Sticky,https://www.amazon.de/dp/B0CB87DDGJ?psc=1,https://m.media-amazon.com/images/I/81fNqdC7z1L._AC_SY355_.jpg,flintronic,5.99,423,57,343.33,179,"1,742",,3.59,1,3.9,"1,017",9,13,flintronic®-eu,Garden,Standard Envelope,FBA,25.80 x 2.40 x 10.60 cm,0.21,,"Aug 11, 2023",,No,31,flintronic®-eu,61.3.,,"2,282.63"
Trappify Fly Trap for Indoor and Outdoor Use (Pack of 2) - 90 Days Fruit Fly Trap for Standing & Hanging - Fly Catcher Mosquito Trap with Adhesive Strips - Repellent Against Mosquitoes,B08DMY3WWX,,Sticky,https://www.amazon.de/dp/B08DMY3WWX?psc=1,https://m.media-amazon.com/images/I/61FcaGkG-QL._AC_SX355_.jpg,Trappify,14.99,51,20,303.99,184,"19,768",,5.92,1,4,"5,408",10,23,Trappify,Garden,Extra Large Envelope,FBA,27.31 x 5.41 x 10.49 cm,0.14,,"Feb 20, 2021",,No,61,Trappify,118.1.,,"1,072.29"
"PIC Window Fly Trap Indoor Pack of 16 - Fly Catcher Adhesive Strips, Fly Trap Adhesive Trap - Toxin-Free, Odourless Fly Traps for Catching Flies and Fruit Flies, Fly Trap",B088KQ632J,,Sticky,https://www.amazon.de/dp/B088KQ632J?psc=1,https://m.media-amazon.com/images/I/8158yTjN5tL._AC_SY355_.jpg,PIC,9.99,591,26,261.43,170,"1,999",,2.92,2,4,"4,033",7,8,UE-SHOP,Garden,Standard Envelope,FBA,24.30 x 1.60 x 7.80 cm,0.11,,"Jun 28, 2020",,No,69,UE-SHOP,60.1.,,"5,354.15"
"VEYOFLY Refill Flight Insect Trap, Adhesive Trap Insect Catcher, Indoor Fly Trap, Indoor Flea Traps, Safer Home, Indoor Mosquito & Fruit Fly Trap (Pack of 10)",B0BN628DCL,,Sticky,https://www.amazon.de/dp/B0BN628DCL?psc=1,https://m.media-amazon.com/images/I/71Rg3MPD+4L._SX342_.jpg,VEYOFLY,19.97,71,13,251.95,158,"19,962",,5.39,1,4,"3,070",7,47,VEYOFLY DE,Garden,Standard Envelope,FBA,15.30 x 1.40 x 7.10 cm,0.05,,"Nov 29, 2024",,No,16,VEYOFLY DE,58.3.,,"2,212.65"
"GeeRic Pack of 40 fly traps, blue boards, sticky insect traps, against fungus gnats, aphids, nematodes, white flies and miner flies, premium sticker fly trap (blue)",B09ZXGQZJZ,,Sticky,https://www.amazon.de/dp/B09ZXGQZJZ?psc=1,https://m.media-amazon.com/images/I/71J5v3C1vXL._AC_SY355_.jpg,GeeRic,5.48,273,42,228.87,164,"6,785",,3.93,1,4.4,"3,222",7,29,GeeRicDirect,Garden,Large Envelope,FBA,19.60 x 3.20 x 12.90 cm,0.13,,"Jun 16, 2022",,No,45,GeeRicDirect,80.1.,,"1,493.55"
Trappify Fly Trap for Indoor and Outdoor Use (Pack of 8) - 90 Days Fruit Fly Trap for Standing & Hanging - Fly Catcher Mosquito Trap with Adhesive Strips - Repellent Against Mosquitoes,B087CH7JK8,,Sticky,https://www.amazon.de/dp/B087CH7JK8?psc=1,https://m.media-amazon.com/images/I/61nocUJpXsL._AC_SX355_.jpg,Trappify,37.99,51,6,225.39,184,"19,768",,10.24,1,4,"5,408",10,29,Trappify,Garden,Standard Parcel,FBA,40.70 x 5.40 x 27.20 cm,0.45,,"Feb 13, 2023",,No,37,Trappify,118.2.,,"1,072.29"
"AiQInu Pack of 60 yellow stickers, fungus gnats, fly trap, fruit fly trap, ideal yellow plate for potted plants against mosquitoes, aphids, leaf flies, balcony, garden, indoor",B0F66WP1DY,,Sticky,https://www.amazon.de/dp/B0F66WP1DY?psc=1,https://m.media-amazon.com/images/I/71sh6s32nUL._AC_SY355_.jpg,AiQInu,6.29,176,33,209.78,175,"8,006",,3.06,1,4.4,245,8,222,Amazon,Garden,Standard Envelope,AMZ,19.60 x 1.80 x 13.10 cm,0.18,,"Jun 26, 2025",,No,9,Amazon,100.1.,,929.43
"Flintronic Fly Catcher, Pack of 18 Fly Catcher Rolls, Premium Non-Toxic Fly Killer Against Fruit Flies, Flies and Moths, Fly Trap Adhesive Strips for Outdoor and Indoor Use",B0CZ713W22,,Sticky,https://www.amazon.de/dp/B0CZ713W22?psc=1,https://m.media-amazon.com/images/I/81qPOUvN98L._AC_SY355_.jpg,flintronic,5.99,423,35,208.55,172,"1,742",,2.58,1,3.9,"1,017",9,13,flintronic®-eu,Garden,Standard Envelope,FBA,19.10 x 2.40 x 10.60 cm,0.13,,"Apr 30, 2024",,No,23,flintronic®-eu,61.1.,,"2,282.63"
"GeeRic Pack of 40 fly traps, yellow boards, sticky insect traps, against fungus gnats, aphids, nematodes, white flies and miner flies, premium yellow sticker fly trap (yellow)",B09V71GHV8,,Sticky,https://www.amazon.de/dp/B09V71GHV8?psc=1,https://m.media-amazon.com/images/I/6129wQT3e8L._AC_SY355_.jpg,GeeRic,5.48,273,37,201.08,175,"6,785",,2.94,1,4.4,"3,222",7,29,GeeRicDirect,Garden,Standard Envelope,FBA,19.10 x 1.20 x 13.90 cm,0.12,,"Apr 13, 2022",,No,47,GeeRicDirect,80.3.,,"1,493.55"
